"journal","n_total","journal_median_length","mean_cites_long_FALSE","mean_cites_long_TRUE","n_long_FALSE","n_long_TRUE","length_effect","long_advantage","overall_mean"
"Mind & Language",379,6,1.02856307435255,0.857529184513312,190,189,-0.171033889839236,FALSE,0.943271767810026
"Social Epistemology",419,9,0.573903558263748,0.404872557997558,211,208,-0.16903100026619,FALSE,0.4899931810433
"Theoria",334,7,0.287118890460475,0.128523328523329,202,132,-0.158595561937146,FALSE,0.224440404904477
"Metaphilosophy",421,7,0.293111185284082,0.134943639291465,214,207,-0.158167545992617,FALSE,0.215342344380349
"Philosophy & Public Affairs",130,5,1.27835775335775,1.12034493284493,78,52,-0.158012820512821,FALSE,1.21515262515263
"Philosophical Papers",139,7,0.421547162926473,0.26510989010989,87,52,-0.156437272816583,FALSE,0.363023866620989
"Bulletin of Symbolic Logic",147,7,0.265913715913716,0.111346905912123,78,69,-0.154566810001593,FALSE,0.193361947953785
"Australasian Journal of Philosophy",531,6,0.998670465337132,0.845654761904762,351,180,-0.15301570343237,FALSE,0.946800735360057
"Monist",317,7,0.487116550740146,0.335246088843211,178,139,-0.151870461896935,FALSE,0.420523509088178
"Hypatia",419,10,0.336987577639752,0.186652809271857,230,189,-0.150334768367895,FALSE,0.269175474485737
"Review of Symbolic Logic",363,7,0.644885741652983,0.495486489761299,232,131,-0.149399251891684,FALSE,0.590970309152127
"Southern Journal of Philosophy",329,8,0.30059227671168,0.151782614087302,201,128,-0.148809662624378,FALSE,0.242696724079703
"Ethics and Information Technology",408,10,0.282041465631774,0.161604402350259,227,181,-0.120437063281515,FALSE,0.228612278244631
"Philosophical Quarterly",453,6,0.819954648526077,0.705775759243967,280,173,-0.11417888928211,FALSE,0.776349907144609
"Pacific Philosophical Quarterly",377,6,0.695389442598745,0.585319909856947,215,162,-0.110069532741798,FALSE,0.648091659298556
"Kant-Studien",235,10,0.246282201405152,0.145526057030482,122,113,-0.10075614437467,FALSE,0.197833502195204
"Journal of Philosophical Logic",433,6,0.767315725210462,0.668200631507083,247,186,-0.099115093703379,FALSE,0.724739726529565
"Journal of the History of Philosophy",256,9,0.292518518518519,0.195443995208146,150,106,-0.0970745233103724,FALSE,0.252323598710318
"Journal of Consciousness Studies",663,8,0.323979288685171,0.227644587246663,374,289,-0.0963347014385076,FALSE,0.28198723934018
"Philosophy of the Social Sciences",236,8,0.286419413919414,0.191037735849057,130,106,-0.0953816780703572,FALSE,0.243578490718321
"Synthese",4051,7,0.587637540774262,0.497443935201196,2399,1652,-0.0901936055730663,FALSE,0.550856539439603
"Journal of Philosophical Research",205,7,0.212031870039683,0.126242011956298,128,77,-0.0857898580833849,FALSE,0.179808362369338
"Journal of Philosophy",247,5,0.942005217005217,1.02362637362637,143,104,0.0816211566211568,TRUE,0.976372019793072
"Notre Dame Journal of Formal Logic",301,6,0.210475671750182,0.133778421278421,153,148,-0.0766972504717603,FALSE,0.172764066867057
"Journal of Medical Ethics",1375,11,0.226917246299269,0.152686202686202,712,663,-0.0742310436130661,FALSE,0.191124386724386
"Journal of Aesthetics and Art Criticism",317,7,0.402658065088233,0.329707269381182,179,138,-0.0729507957070503,FALSE,0.370900305442892
"Dialogue",333,8,0.116036036036036,0.045744851994852,185,148,-0.0702911840411841,FALSE,0.0847955097955098
"Journal of Indian Philosophy",335,10,0.157889822595705,0.0928379028379028,170,165,-0.0650519197578022,FALSE,0.125849324804549
"Archiv für Geschichte der Philosophie",179,9,0.198145675715769,0.134220679012346,107,72,-0.0639249967034235,FALSE,0.172432827879755
"American Philosophical Quarterly",280,6,0.462088293650794,0.400006613756614,160,120,-0.0620816798941798,FALSE,0.435481859410431
"Philosophia Mathematica",140,7,0.422309941520468,0.483059964726631,95,45,0.0607500232061636,TRUE,0.441836734693877
"British Journal of Aesthetics",287,7,0.449206349206349,0.392762176095509,170,117,-0.0564441731108398,FALSE,0.426196006858028
"Politics, Philosophy and Economics",189,6,0.395918964076859,0.342709388720027,95,94,-0.0532095753568318,FALSE,0.369454942470815
"Utilitas",237,6,0.41488579171506,0.362399053188527,123,114,-0.0524867385265331,FALSE,0.389639006094702
"Philosophy East and West",441,10,0.0989396035039189,0.0470515873015873,241,200,-0.0518880162023316,FALSE,0.075407623366807
"Logique et Analyse",139,7,0.0934920634920635,0.0466816195077065,70,69,-0.046810443984357,FALSE,0.070255224391915
"International Journal for Philosophy of Religion",311,7,0.148564569860866,0.101813678491531,162,149,-0.0467508913693353,FALSE,0.126166232838259
"Law and Philosophy",234,7,0.190598290598291,0.144043803418803,130,104,-0.0465544871794872,FALSE,0.169907407407407
"Journal of Social Philosophy",301,8,0.326232004429679,0.280232558139535,172,129,-0.0459994462901439,FALSE,0.306517956019617
"History and Philosophy of Logic",206,8,0.178777328541479,0.224369047619048,106,100,0.0455917190775681,TRUE,0.200909231006318
"Linguistics and Philosophy",232,6,0.470198740653286,0.4254147004147,121,111,-0.0447840402385857,FALSE,0.448771893814997
"Journal of Moral Philosophy",226,6,0.460211853558628,0.50269996887644,124,102,0.0424881153178118,TRUE,0.47938790560472
"Phronesis",154,8,0.204732353934482,0.16239417989418,94,60,-0.0423381740403017,FALSE,0.188236961451247
"Ergo",386,6,0.561786786786787,0.520337301587301,222,164,-0.0414494851994854,FALSE,0.544176124681306
"Erkenntnis",985,6,0.776032892097874,0.73645177328472,554,431,-0.0395811188131546,FALSE,0.758713641124809
"Philosophical Explorations",244,7,0.413450604122246,0.374848484848485,134,110,-0.0386021192737611,FALSE,0.396048009367681
"Analysis",496,6,0.603715225927769,0.566444520391889,287,209,-0.0372707055358805,FALSE,0.588010432667691
"Studia Logica",457,7,0.253506577728368,0.216259920634921,257,200,-0.037246657093447,FALSE,0.237206071341739
"Journal of the American Philosophical Association",341,6,0.660677276091784,0.623613792363792,193,148,-0.0370634837279916,FALSE,0.644591072010427
"Ethical Theory and Moral Practice",591,7,0.455318700396825,0.419961342470567,320,271,-0.035357357926258,FALSE,0.43910576639003
"Philosophy and Rhetoric",229,8,0.0802487661731359,0.0512987012987013,119,110,-0.0289500648744346,FALSE,0.0663426214736259
"Canadian Journal of Philosophy",402,6,0.628091630591631,0.59937641723356,220,182,-0.0287152133580706,FALSE,0.615091210613599
"Philosophia",1119,7,0.211887185311376,0.18390693996897,587,532,-0.0279802453424063,FALSE,0.198584691547158
"British Journal for the History of Philosophy",529,9,0.267063492063492,0.239344175170068,305,224,-0.0277193168934238,FALSE,0.255326011942269
"Philosophical Forum",221,8,0.0933891828336273,0.0674141749723145,135,86,-0.0259750078613128,FALSE,0.0832812612224377
"Journal of Applied Philosophy",477,7,0.399838330393886,0.376968864468865,243,234,-0.0228694659250215,FALSE,0.388619347109913
"Russell",67,9,0.117653642653643,0.096031746031746,39,28,-0.0216218966218966,FALSE,0.10861762615494
"Thought",219,6,0.384283309283309,0.405724320379493,132,87,0.0214410110961835,TRUE,0.392800971225629
"Philosophy",234,6,0.183598901098901,0.204884004884005,130,104,0.0212851037851038,TRUE,0.193058947225614
"Journal of Symbolic Logic",739,7,0.133595184105388,0.113083253435602,441,298,-0.0205119306697857,FALSE,0.125323796636381
"European Journal of Philosophy",655,7,0.418415067519545,0.398089037698413,335,320,-0.0203260298211325,FALSE,0.408484793408458
"Philosophical Investigations",211,7,0.157491789819376,0.177690058479532,116,95,0.0201982686601561,TRUE,0.166585797036034
"Journal of Value Inquiry",355,7,0.213587526205451,0.19510212010212,212,143,-0.0184854061033306,FALSE,0.20614129219763
"Journal of the Philosophy of History",188,9,0.12419532627866,0.107460317460317,108,80,-0.0167350088183422,FALSE,0.117074045930429
"Biology and Philosophy",469,9,0.305403828197946,0.289164853758762,272,197,-0.0162389744391837,FALSE,0.298582766439909
"Philosophers' Imprint",294,5,0.870842654735273,0.857495894909688,149,145,-0.0133467598255845,FALSE,0.864260069107008
"Kantian Review",246,8,0.330114285714286,0.342302899121081,125,121,0.0121886134067953,TRUE,0.336109497999742
"Heythrop Journal",574,10,0.030978835978836,0.0189311760740332,315,259,-0.0120476599048028,FALSE,0.0255426967534982
"Transactions of the Charles S. Peirce Society",208,9,0.0748578042328042,0.0861471861471862,120,88,0.0112893819143819,TRUE,0.0796340811965812
"Theory and Decision",558,8,0.0574666162761401,0.0463763145861911,315,243,-0.0110903016899489,FALSE,0.052636968766001
"Review of Metaphysics",192,8,0.0575325963718821,0.0488492063492063,112,80,-0.00868339002267574,FALSE,0.0539145171957672
"Journal of the History of Ideas",291,12,0.0244196428571429,0.031234096692112,160,131,0.00681445383496911,TRUE,0.0274873179512355
"International Philosophical Quarterly",222,8,0.0384247448979592,0.0448268398268398,112,110,0.00640209492888063,TRUE,0.0415969540969541
"Journal of Chinese Philosophy",192,9,0.0291277258566978,0.0348832866479925,107,85,0.00575556079129472,TRUE,0.0316757605820106
"European Journal for Philosophy of Science",480,8,0.260838779956427,0.266248677248678,255,225,0.0054098972922505,TRUE,0.26337466931217
"Social Philosophy and Policy",261,7,0.148339997576639,0.143339438339438,131,130,-0.00500055923720055,FALSE,0.145849297573435
"Croatian Journal of Philosophy",221,7,0.0776116648209671,0.0772429261559696,129,92,-0.000368738664997537,FALSE,0.0774581627522804
"South African Journal of Philosophy",346,9,0.0876627429998217,0.0879535147392289,178,168,0.000290771739407267,TRUE,0.0878039269657766
"Ratio",299,6,0.379214113181505,0.379213250517598,184,115,-8.62663906198158e-07,FALSE,0.379213781387694
