"journal","n_articles","mean_total_cites","mean_cites_per_year"
"Journal of Indian Philosophy",335,0.782089552238805,0.125849324804549
"Theoria",334,1.18862275449102,0.224440404904477
"Dialogue",333,0.441441441441442,0.0847955097955098
"Southern Journal of Philosophy",329,1.48632218844985,0.242696724079703
"Mind",328,8.21951219512193,1.46543021680217
"Journal of Aesthetics and Art Criticism",317,1.86119873817035,0.370900305442892
"Monist",317,2.43533123028392,0.420523509088178
"International Journal for Philosophy of Religion",311,0.736334405144694,0.126166232838259
"Journal of Social Philosophy",301,1.43189368770764,0.306517956019617
"Notre Dame Journal of Formal Logic",301,1.0531561461794,0.172764066867057
"Ratio",299,2.2943143812709,0.379213781387695
"Philosophers' Imprint",294,5.54081632653062,0.864260069107008
"Minds and Machines",293,2.50170648464164,0.510265994907633
"Res Philosophica",293,2.21160409556315,0.298015873015873
"Journal of the History of Ideas",291,0.192439862542956,0.0274873179512355
"British Journal of Aesthetics",287,2.22299651567944,0.426196006858028
"American Philosophical Quarterly",280,2.69642857142856,0.435481859410431
"Social Philosophy and Policy",261,1.06130268199234,0.145849297573435
"Journal of the History of Philosophy",256,1.69921875,0.252323598710318
"Journal of Philosophy",247,5.88663967611336,0.976372019793073
"Kantian Review",246,1.69105691056911,0.336109497999742
"Philosophical Explorations",244,2.3155737704918,0.396048009367682
"Ethics",241,7.42738589211617,1.16661232957913
"Utilitas",237,2.34177215189873,0.389639006094702
"Philosophy of the Social Sciences",236,1.44915254237288,0.243578490718321
"Kant-Studien",235,1.05531914893617,0.197833502195204
"Law and Philosophy",234,0.965811965811966,0.169907407407407
"Philosophy",234,1.08119658119658,0.193058947225614
"Linguistics and Philosophy",232,2.32327586206897,0.448771893814997
"Philosophy and Rhetoric",229,0.410480349344978,0.0663426214736259
"Journal of Moral Philosophy",226,2.64159292035398,0.47938790560472
"International Philosophical Quarterly",222,0.265765765765766,0.0415969540969541
"Croatian Journal of Philosophy",221,0.583710407239818,0.0774581627522804
"Philosophical Forum",221,0.470588235294119,0.0832812612224377
"Thought",219,2.52968036529681,0.392800971225629
"Journal of Political Philosophy",217,3.72811059907834,0.641809304366908
"Philosophical Investigations",211,0.691943127962086,0.166585797036034
"Transactions of the Charles S. Peirce Society",208,0.586538461538463,0.0796340811965813
"History and Philosophy of Logic",206,0.966019417475728,0.200909231006318
"Journal of Philosophical Research",205,1.08780487804878,0.179808362369338
"Economics and Philosophy",201,2.81094527363184,0.558868356629551
"Journal of Chinese Philosophy",192,0.229166666666667,0.0316757605820106
"Review of Metaphysics",192,0.28125,0.0539145171957672
"Analytic Philosophy",190,3.25263157894737,0.645609857978279
"Politics, Philosophy and Economics",189,1.98941798941799,0.369454942470816
"Journal of the Philosophy of History",188,0.632978723404255,0.117074045930429
"Archiv für Geschichte der Philosophie",179,0.854748603351955,0.172432827879755
"Kennedy Institute of Ethics Journal",160,1.6,0.265897817460317
"Phronesis",154,1.18831168831169,0.188236961451247
"Bulletin of Symbolic Logic",147,1.03401360544218,0.193361947953785
"Philosophia Mathematica",140,2.61428571428571,0.441836734693878
"Logique et Analyse",139,0.553956834532374,0.070255224391915
"Philosophical Papers",139,2.05755395683453,0.363023866620989
"Philosophy & Public Affairs",130,7.77692307692307,1.21515262515262
"Philosophical Perspectives",129,7.12403100775195,1.01995816414421
"Philosophical Review",101,12.8217821782178,2.11685132798994
"Russell",67,0.626865671641791,0.10861762615494
